topic,question,difficulty,explanation,choice_a,choice_b,choice_c,choice_d,choice_e,answer
Numerical Ability,Renz deposits P3000 in a cooperative savings plan that earns 3% simple interest per year. How much interest will the deposit earn after 3 year(s)?,medium,Simple interest = Principal x Rate x Time = P3000 x 0.03 x 3 = P270.,P135,P405,P337.50,P270,,D
Numerical Ability,A palengke vendor buys sacks of rice at P40 each and sells them at P46 each. What is the vendor's percentage profit?,medium,Percentage profit = (Selling price - Cost price)/Cost price x 100 = (P46 - P40)/P40 x 100 = 15%.,10%,20%,15%,5%,,C
Numerical Ability,"A farmers' cooperative harvested 138 kilos of bananas. If 5/6 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (5/6) x 138 kg = 115 kg.,92 kg,23 kg,115 kg,46 kg,,C
Numerical Ability,"Worker A can pack the donation boxes alone in 6 hours, and Worker B can do the same job alone in 8 hours. Working together, how many hours will they need?",medium,Combined rate = 1/A + 1/B = 1/6 + 1/8. Time together = (A x B)/(A+B) = (6x8)/(6+8) = 3.43 hours.,6.17 hours,1.71 hours,2.40 hours,3.43 hours,,D
Numerical Ability,Dianne deposits P20000 in a cooperative savings plan that earns 2% simple interest per year. How much interest will the deposit earn after 1 year(s)?,medium,Simple interest = Principal x Rate x Time = P20000 x 0.02 x 1 = P400.,P400,P800,P600,P200,,A
Numerical Ability,"A farmers' cooperative harvested 66 kilos of bananas. If 1/3 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (1/3) x 66 kg = 22 kg.,44 kg,22 kg,30.70 kg,34.40 kg,,B
Numerical Ability,"A farmers' cooperative harvested 136 kilos of tomatoes. If 1/4 of the harvest was sold to a wholesaler, how many kilos were sold?",easy,Kilos sold = (1/4) x 136 kg = 34 kg.,68 kg,34 kg,46.40 kg,102 kg,,B
Numerical Ability,"Out of 80 school chairs inspected at a warehouse, 5 were found defective. What percentage were defective?",medium,Defective rate = (defective/total) x 100 = (5/80) x 100 = 6.25%.,9.38%,6.25%,8.12%,8.75%,,B
Numerical Ability,A school supply store marks down a P375 office chair by 35% for a back-to-school promo. What is the discounted price?,easy,Discounted price = original price x (1 - discount%) = P375 x 0.65 = P243.75.,P207.19,P268.12,P243.75,P292.50,,C
Numerical Ability,"A tailor has 15 meters of cloth. If each barong requires 3 meters, how many complete barongs can be made?",easy,Complete pieces = floor(total meters / meters per piece) = floor(15 / 3) = 5.,3 barongs,4 barongs,5 barongs,6 barongs,,C
